genero;aproveitamento;dependencia_adm;tipo_escola;faixa_etaria;estado_civil;raca;escolaridade_pai;escolaridade_mae;renda;tem_computador;tem_internet
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Pos-Graduado;Ate-2.5-Salario-Minimo;Sim;Sim
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Nao-Sei-Nunca-Estudou;Ensino-Medio;Ate-1-Salario-Minimo;Nao;Sim
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-1-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-1-Salario-Minimo;Sim;Sim
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-1-Salario-Minimo;Nao;Nao
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-1-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-1-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Nao;Sim
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Graduado;Ate-2.5-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-1-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Graduado;Ensino-Medio;Ate-1-Salario-Minimo;Sim;Sim
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-1-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-1-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Nao-Sei-Nunca-Estudou;Ensino-Medio;Ate-2.5-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-1-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Nao-Sei-Nunca-Estudou;Nao-Sei-Nunca-Estudou;Nenhuma;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Pos-Graduado;Ate-2.5-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Nao-Sei-Nunca-Estudou;Nao-Sei-Nunca-Estudou;Ate-1-Salario-Minimo;Nao;Nao
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-12-Salario-Minimo;Sim;Sim
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Graduado;Ate-1-Salario-Minimo;Sim;Sim
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Graduado;Nao-Sei-Nunca-Estudou;Ate-12-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Sim;Sim
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Nao-Sei-Nunca-Estudou;Ensino-Medio;Ate-1-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Solteiro;Preta;Pos-Graduado;Pos-Graduado;Ate-2.5-Salario-Minimo;Sim;Sim
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Pos-Graduado;Ate-12-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-12-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-1-Salario-Minimo;Nao;Sim
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Graduado;Ate-2.5-Salario-Minimo;Nao;Sim
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Sim;Sim
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Graduado;Graduado;Ate-12-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-1-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Sim;Sim
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-1-Salario-Minimo;Nao;Sim
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Graduado;Graduado;Ate-12-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-1-Salario-Minimo;Sim;Sim
F;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Nao;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Nao-Sei-Nunca-Estudou;Pos-Graduado;Ate-12-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Branca;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Sim;Sim
M;Bom;Estadual;Publica;Ate-20-anos;Nao-Solteiro;Preta;Ensino-Medio;Ensino-Medio;Ate-2.5-Salario-Minimo;Nao;Sim
